Age,Flight distance,Inflight Wi-Fi service,Convenient arrival/departure time,Ease of online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Check-in service,Inflight service,Cleanliness,Departure delay in minutes,Gender,Customer type,Type of travel,Eco,Eco plus,Satisfied
42,2632,4,4,4,4,1,4,3,4,4,4,4,3,4,2,23,0,0,1,1,0,1
45,2931,1,1,2,1,4,4,1,5,5,5,5,2,5,2,0,0,0,0,0,0,1
24,280,4,5,4,2,4,4,4,4,3,4,5,5,4,4,0,0,0,0,0,0,1
15,1608,4,5,4,4,2,4,2,2,3,4,4,5,4,2,0,0,0,0,0,0,1
53,1754,1,1,1,1,5,3,5,5,5,4,5,3,5,3,0,1,0,1,1,0,0
56,2719,5,5,5,5,5,5,4,3,3,4,3,3,3,3,0,0,0,0,0,0,1
29,1791,3,3,3,3,5,5,5,5,5,4,5,5,4,5,9,0,0,0,0,0,1
8,1464,2,4,2,2,2,2,2,2,5,4,3,3,4,2,0,0,0,1,1,0,0
41,2417,3,3,2,3,2,3,4,4,4,4,4,4,4,4,0,1,0,0,0,0,1
48,2416,1,1,1,1,2,5,5,5,5,5,5,4,5,3,0,1,0,0,0,0,1
62,570,2,4,2,1,4,4,5,4,4,2,4,4,4,3,0,1,1,0,0,0,0
44,2855,4,4,4,4,4,4,5,4,4,4,4,4,4,3,0,1,0,1,1,0,0
57,868,1,1,1,1,4,5,4,4,4,4,4,5,4,3,0,0,0,1,0,1,0
62,968,2,2,2,3,5,2,5,5,1,3,3,3,3,5,0,1,0,0,0,0,1
61,436,3,5,3,5,5,3,5,5,4,3,5,3,5,5,28,1,0,1,1,0,0
12,1045,1,4,1,1,1,1,1,1,5,4,4,3,5,1,0,1,0,1,0,1,0
50,3880,1,1,1,1,3,5,4,4,4,4,4,5,4,4,36,1,0,0,0,0,1
11,731,1,2,1,3,5,1,5,5,2,5,3,3,3,5,0,1,0,1,1,0,0
65,605,1,5,1,5,5,1,5,5,4,3,4,3,4,5,14,1,0,1,1,0,1
39,3637,3,3,3,3,2,4,4,4,4,4,4,5,4,5,0,1,1,0,0,0,1
69,644,2,4,2,2,5,2,5,5,3,5,5,5,5,5,25,0,0,1,1,0,0
55,908,4,4,4,3,5,4,2,5,5,4,4,1,2,5,3,0,0,0,1,0,0
22,1182,0,0,0,5,1,0,1,1,1,3,3,1,1,1,0,0,1,0,1,0,0
12,1569,2,4,2,4,4,2,4,4,1,4,2,3,3,4,0,1,0,0,0,0,1
26,912,3,4,3,4,3,3,2,3,1,4,3,3,4,3,0,1,0,0,0,0,1
44,1235,3,3,3,4,1,3,1,1,3,2,4,3,4,1,0,1,0,1,1,0,0
38,3048,3,3,2,3,3,4,4,5,5,5,5,3,5,5,8,1,0,0,1,0,0
67,1208,3,3,3,3,2,4,5,4,4,4,4,5,4,5,0,0,0,1,0,1,0
17,677,2,5,2,4,5,2,4,5,3,5,5,4,4,5,0,0,1,0,1,0,0
40,896,1,2,2,2,1,1,1,1,2,4,3,1,4,1,36,0,0,1,1,0,0
63,334,1,3,2,3,5,4,3,1,1,2,4,1,1,2,17,1,0,0,1,0,1
22,746,2,1,1,3,5,1,5,5,4,2,5,3,5,5,27,0,0,0,0,1,1
26,1371,2,5,1,2,5,1,4,5,4,4,4,4,4,5,0,1,0,1,1,0,0
35,502,4,4,3,4,4,4,4,4,1,3,3,1,1,4,0,0,0,1,1,0,0
30,1047,4,2,2,2,4,4,4,4,4,2,4,1,1,4,0,1,1,0,1,0,1
60,925,3,5,3,3,2,3,5,2,5,1,2,2,3,2,8,0,0,0,0,0,1
66,1020,1,5,1,5,1,1,5,2,2,1,2,3,2,3,7,1,0,0,0,0,1
22,599,0,0,0,1,5,0,5,5,3,3,5,3,4,5,6,1,0,1,0,1,0
32,3699,5,5,5,5,3,4,4,3,4,3,5,3,5,3,1,1,0,1,1,0,1
44,2745,2,2,2,2,3,5,5,4,4,4,4,3,4,3,98,1,0,0,0,0,1
60,151,4,4,4,4,3,4,3,3,5,5,5,4,4,3,19,0,1,0,0,0,0
26,268,5,0,5,1,5,5,5,5,3,3,5,4,5,5,13,1,0,1,1,0,0
40,1721,4,4,4,4,3,5,4,4,4,4,4,3,4,5,12,1,1,0,1,0,0
34,402,4,4,4,2,2,4,2,2,4,3,5,3,5,2,2,1,1,0,1,0,0
52,878,2,3,2,2,5,2,1,5,1,1,1,2,3,5,0,1,0,0,1,0,1
21,641,3,0,3,3,1,3,1,1,5,5,5,5,5,1,0,0,1,0,1,0,0
36,696,3,3,3,4,1,3,4,1,4,1,1,2,2,1,25,0,0,0,0,0,1
54,73,4,1,4,4,4,4,4,4,4,4,5,1,1,4,0,1,0,0,0,0,1
23,1011,2,2,2,3,3,2,3,3,4,5,2,3,3,3,15,0,1,0,1,0,0
25,1464,3,3,3,3,4,4,4,4,5,3,4,4,5,4,0,1,0,0,0,1,1
50,2977,1,1,1,1,4,5,4,4,4,4,4,3,4,4,0,0,1,0,1,0,0
42,236,2,5,2,4,4,2,4,4,2,1,3,5,5,4,1,1,0,1,1,0,0
34,315,4,4,4,4,4,4,4,4,5,2,3,1,4,4,0,1,0,1,1,0,0
26,1165,2,2,2,4,2,2,2,2,3,2,3,1,4,2,63,0,0,0,0,0,1
9,1844,1,5,1,4,1,1,1,1,3,3,3,4,4,1,0,1,1,0,1,0,0
62,240,3,4,3,3,5,3,1,5,1,5,4,3,3,5,10,1,0,0,1,0,1
55,2804,5,5,5,5,4,4,4,5,5,5,4,3,5,4,0,0,0,0,1,0,1
26,1035,3,3,3,2,1,3,1,1,1,3,2,4,3,1,29,1,0,0,0,1,0
63,2248,5,2,2,2,5,5,5,5,2,3,4,3,5,5,14,0,0,0,0,0,1
39,260,4,5,3,5,4,4,4,4,4,4,1,2,4,4,13,0,0,1,0,0,0
56,775,2,2,2,2,2,2,2,2,4,1,4,4,4,2,4,1,0,0,0,0,1
43,89,0,4,0,3,1,3,5,3,3,3,3,2,3,1,0,1,0,1,1,0,0
7,545,3,3,3,4,2,3,2,2,1,3,4,2,3,2,0,0,0,0,0,0,1
28,2801,4,4,4,4,4,4,4,4,3,2,4,3,2,4,14,0,0,0,0,0,0
45,308,2,4,2,4,3,2,3,3,5,2,5,3,5,3,0,0,1,0,1,0,0
53,2003,5,5,5,5,3,4,5,4,4,4,4,3,4,4,50,1,1,0,0,0,1
39,3311,1,2,2,2,3,4,4,1,1,1,1,2,1,1,0,0,0,0,0,0,0
28,1750,2,2,2,3,2,2,5,2,2,1,3,3,4,2,20,1,0,1,1,0,0
20,853,5,0,5,1,2,5,2,2,4,4,4,5,4,2,8,0,0,1,1,0,0
59,258,2,2,2,2,2,3,3,2,2,2,2,2,2,4,0,1,0,0,1,0,1
40,589,1,5,2,1,1,2,1,1,3,5,4,3,5,1,27,0,0,0,0,0,1
38,1185,3,3,3,3,1,3,1,1,3,2,3,1,3,1,56,1,0,0,0,0,1
54,674,3,1,1,1,3,3,3,3,2,3,4,2,3,3,9,1,0,1,1,0,0
52,617,4,2,2,2,4,4,4,4,3,2,4,2,4,4,0,0,0,1,0,1,0
23,2486,2,2,2,2,5,5,5,5,4,1,3,1,2,5,0,1,0,1,1,0,0
39,2207,1,1,1,1,4,5,5,5,5,5,5,5,5,3,27,0,0,1,0,0,0
54,1558,1,5,1,1,5,1,5,5,5,2,4,4,4,5,2,0,1,0,1,0,0
22,321,3,4,3,5,3,3,3,3,4,4,1,5,4,3,63,1,0,0,1,0,1
25,999,2,5,2,2,2,2,2,2,3,3,5,5,5,2,0,0,1,0,1,0,0
11,674,3,5,3,2,5,3,5,5,4,3,4,5,5,5,7,1,0,0,0,0,1
62,912,2,2,2,2,2,2,5,2,1,3,2,4,3,2,88,0,0,0,1,0,0
38,226,5,5,5,5,5,5,5,5,1,3,2,3,5,5,0,1,0,0,0,0,1
16,581,1,1,1,3,2,1,2,2,2,2,3,4,3,2,2,1,0,0,0,0,1
60,3199,4,4,4,4,3,4,5,4,4,4,4,4,4,3,0,0,1,0,1,0,0
41,874,3,1,1,1,3,3,3,3,1,4,2,4,2,3,2,0,0,0,0,0,1
47,168,0,4,0,4,2,4,5,3,3,3,3,5,3,4,0,1,0,0,0,0,1
40,2512,4,4,4,4,4,4,1,5,5,5,5,4,5,4,44,0,0,0,0,0,1
37,589,4,0,4,1,5,4,5,5,5,5,5,1,4,5,69,0,0,0,1,0,0
60,2702,5,5,5,5,2,5,5,5,5,5,5,3,5,5,13,0,0,0,0,0,1
36,3796,3,3,3,3,1,3,3,4,4,4,4,3,4,1,1,1,0,0,0,0,1
27,2251,2,2,2,2,5,5,5,5,4,5,5,4,5,5,0,0,0,0,0,0,1
40,1242,4,3,3,3,4,3,4,4,1,2,4,1,3,4,0,0,1,0,0,0,0
45,2311,4,4,4,4,4,2,3,5,5,5,5,5,5,3,0,1,0,0,1,0,1
48,1481,5,2,5,5,4,4,5,4,4,4,4,4,4,5,16,0,0,0,0,0,1
31,1909,1,1,1,1,5,5,5,5,5,4,5,5,4,5,9,1,0,0,0,0,1
25,432,3,0,3,4,4,3,4,4,4,2,4,3,4,4,3,1,0,0,0,0,1
58,101,4,3,3,3,4,4,4,4,4,4,1,5,3,4,0,1,0,1,1,0,0
37,432,3,3,3,3,5,5,4,5,5,5,5,5,5,5,0,1,0,0,0,0,1
51,1294,3,3,3,3,3,5,5,5,5,5,5,5,5,5,20,0,0,0,0,0,1
40,1655,5,4,5,5,3,5,4,3,3,4,3,3,3,5,8,1,0,0,0,0,1
32,628,2,2,2,3,4,2,4,4,4,3,3,4,4,4,20,0,0,1,1,0,0
45,3246,1,1,1,1,5,5,4,2,2,2,2,4,2,4,0,1,0,1,1,0,0
51,3733,2,2,5,2,2,4,5,5,5,5,5,4,5,4,3,0,1,0,1,0,0
55,3208,4,4,4,4,5,5,5,4,4,4,4,3,4,4,32,1,0,0,0,0,1
10,271,2,3,2,4,5,2,5,5,1,1,4,2,3,5,46,0,0,1,0,1,0
15,332,1,4,1,1,3,1,1,3,5,4,4,4,5,3,0,0,1,0,1,0,0
37,696,2,2,2,3,3,2,3,3,3,2,1,3,4,3,0,1,0,0,1,0,0
33,1806,3,3,3,3,4,4,4,4,3,5,5,4,5,4,41,1,0,0,1,0,0
23,1587,2,5,2,4,1,2,1,1,3,4,4,3,5,1,0,1,0,0,0,0,1
25,200,1,0,1,1,5,1,5,5,4,5,3,1,2,5,0,1,0,1,1,0,0
48,725,3,2,2,2,3,3,3,3,2,4,3,4,4,3,3,1,0,0,0,0,1
45,803,4,3,4,4,4,4,4,4,4,3,3,4,4,4,66,1,0,1,1,0,0
33,748,5,5,5,5,3,3,3,3,2,2,3,5,2,3,88,1,0,0,0,0,1
20,108,2,5,2,3,4,2,4,4,5,5,5,4,5,4,0,0,0,0,0,0,0
45,1726,1,1,3,1,4,5,4,5,5,5,5,5,5,4,24,0,0,1,1,0,1
39,1195,3,4,3,3,2,3,2,2,4,5,5,3,5,2,0,0,0,0,0,0,0
48,3447,0,0,0,3,2,4,5,5,5,5,2,4,5,3,0,0,0,0,0,1,1
18,533,3,4,4,4,3,3,3,3,3,3,3,1,4,3,0,1,1,0,1,0,0
26,624,4,4,4,1,2,4,2,2,4,4,5,5,5,2,0,0,0,1,1,0,1
53,452,2,3,3,3,3,4,3,2,2,2,2,3,2,4,24,0,0,0,0,0,1
25,911,4,3,3,3,4,4,3,4,1,1,2,2,4,4,0,0,0,0,0,0,1
29,1395,3,3,3,4,3,3,3,3,1,3,3,3,2,3,0,0,0,0,0,0,1
43,438,5,3,5,4,3,3,4,1,1,5,1,2,1,4,0,0,0,0,1,0,1
32,3880,3,3,3,3,5,5,5,3,2,5,1,5,2,5,146,0,0,0,0,0,1
31,1977,3,3,3,3,5,5,5,5,4,3,5,4,4,5,3,0,0,0,0,0,0
45,628,4,4,4,4,2,5,5,4,4,4,4,5,4,3,55,0,0,0,0,0,1
45,584,5,5,5,5,4,5,1,5,5,5,5,1,5,2,0,0,1,0,0,0,0
48,624,3,3,3,3,4,5,4,4,4,4,4,4,4,3,0,1,0,0,0,0,1
61,2407,1,1,1,1,5,1,1,3,3,3,1,1,3,1,11,0,0,0,0,0,1
24,3903,2,2,2,2,4,4,4,4,2,1,1,1,5,4,0,0,0,0,0,0,0
31,1597,3,3,3,4,4,3,4,4,4,4,3,3,4,4,22,0,0,0,0,0,1
49,1834,1,1,1,1,2,4,5,5,5,5,5,3,5,4,39,1,0,0,0,0,0
25,283,5,5,3,5,5,5,5,5,3,4,5,4,4,5,20,1,0,0,0,1,0
47,3534,3,4,4,4,3,3,3,2,2,3,4,3,1,3,23,0,0,0,0,0,1
18,1608,1,1,1,1,4,4,4,4,3,4,5,5,5,4,0,0,0,1,1,0,0
37,1923,4,4,3,4,4,4,4,4,4,4,4,4,4,3,21,1,0,0,0,0,1
45,413,2,5,5,5,2,2,2,2,2,3,3,1,4,2,0,0,1,0,0,0,1
38,491,1,1,3,1,3,4,4,4,4,4,4,4,4,4,74,0,0,1,1,0,0
68,265,3,3,0,3,4,3,3,5,5,0,5,4,5,4,0,1,0,0,0,0,1
50,846,2,2,2,2,2,5,4,3,3,2,3,5,3,3,0,1,1,0,1,0,0
14,1400,5,4,5,1,3,5,3,3,3,5,4,5,5,3,0,1,1,0,0,0,0
35,1496,3,1,3,4,3,3,3,3,4,3,3,4,4,3,0,0,0,0,0,0,0
47,2935,2,2,2,2,2,5,5,3,3,3,3,3,3,3,6,1,0,0,0,0,0
25,1569,2,2,2,3,3,2,3,3,1,1,3,2,2,3,72,1,0,0,0,0,1
26,628,2,2,2,2,1,2,1,1,3,4,5,3,4,1,0,0,1,0,0,0,0
72,2454,4,3,2,3,5,1,2,4,4,3,4,2,4,2,2,0,1,0,1,0,0
38,641,3,5,5,5,5,3,2,3,3,3,3,2,3,1,44,0,1,0,1,0,1
44,552,4,4,4,4,2,5,5,3,3,3,3,4,3,4,5,0,0,0,0,0,1
44,1085,2,2,2,4,2,2,5,2,4,4,5,4,5,2,0,0,0,0,0,0,1
26,646,1,3,1,4,3,1,3,3,3,5,3,4,4,3,16,1,0,0,0,0,1
23,106,0,0,0,2,2,0,2,2,1,5,1,1,5,2,0,0,0,0,0,0,1
30,1172,3,3,3,3,5,5,5,5,5,4,5,3,5,5,7,1,0,1,1,0,0
39,763,3,3,3,3,2,1,3,4,4,4,4,5,4,1,0,0,0,0,1,0,0
51,2717,5,5,5,5,5,5,5,3,2,4,1,5,1,5,0,1,1,0,1,0,0
43,370,4,4,4,4,5,5,4,2,2,2,2,5,2,4,16,0,0,0,1,0,0
66,237,4,4,4,1,3,4,3,3,5,3,5,4,4,3,0,1,0,0,0,0,1
31,1242,3,5,5,5,3,3,3,3,1,4,4,2,4,3,0,0,0,0,0,0,0
42,262,2,0,3,2,2,3,2,2,3,3,1,3,4,2,0,1,0,0,0,0,1
22,696,2,5,5,5,2,1,2,2,4,1,3,1,4,2,2,0,0,0,0,0,1
41,2034,4,4,2,4,5,1,4,4,4,4,4,3,4,2,0,0,0,0,0,0,1
21,2045,3,5,5,5,3,3,3,3,2,4,4,2,4,3,0,1,0,0,0,0,1
58,3463,1,1,1,1,2,4,4,5,5,5,5,4,5,5,118,1,0,0,0,0,1
55,2755,5,5,5,5,2,5,5,4,4,4,4,5,4,5,22,1,0,0,1,0,0
58,2686,3,3,3,3,4,5,4,4,4,4,4,5,4,3,0,1,0,0,0,0,1
39,2275,5,5,5,5,3,2,3,4,4,4,4,1,4,2,0,0,0,0,0,0,0
38,2982,5,5,5,5,3,5,5,4,4,4,4,4,4,5,0,0,0,0,0,0,1
35,397,2,1,1,1,2,2,2,2,1,4,4,2,3,2,0,0,0,0,0,0,1
38,2097,3,3,3,3,2,4,2,4,4,4,4,4,4,4,40,0,0,0,0,0,1
43,3108,2,2,2,2,2,2,3,2,2,2,2,4,2,4,0,1,1,0,0,0,1
46,271,2,2,2,2,3,4,5,4,4,4,4,4,4,5,0,0,0,0,0,1,1
50,2510,1,1,1,1,5,4,4,5,5,5,5,4,5,3,0,1,0,0,0,0,1
39,3019,2,2,2,2,5,3,3,5,5,5,5,1,5,4,10,1,0,1,1,0,0
26,1749,4,4,4,4,4,4,4,4,3,5,3,4,5,4,0,0,1,0,1,0,0
60,300,5,5,2,5,5,4,1,3,3,5,3,5,3,1,27,1,0,0,0,0,1
37,2075,1,1,3,1,4,3,4,4,4,3,4,4,4,3,38,1,0,0,0,1,0
19,946,1,4,1,4,4,1,4,4,3,3,3,4,3,4,3,0,1,0,1,0,0
24,1013,1,1,1,4,2,1,4,2,3,5,3,4,3,2,54,0,0,0,0,0,1
22,2288,4,4,4,4,2,2,2,4,5,4,2,2,2,2,0,1,0,0,0,0,1
54,533,2,2,2,2,2,2,2,2,3,3,4,3,3,2,0,0,0,0,1,0,1
26,531,3,5,3,2,4,3,4,4,2,5,3,1,5,4,10,1,0,0,0,0,1
39,2976,2,2,2,2,5,5,4,4,4,4,4,4,4,4,60,0,1,0,1,0,0
58,479,3,3,3,3,4,5,5,4,4,4,4,5,4,4,0,1,1,0,1,0,0
60,501,5,1,2,1,3,1,4,3,3,5,3,1,3,1,0,1,0,0,1,0,1
42,3215,3,3,3,3,2,5,4,4,4,4,4,5,4,5,0,0,0,0,0,0,1
24,187,3,4,3,2,3,3,3,3,1,3,4,2,2,3,0,0,1,0,1,0,1
40,936,3,3,3,3,4,3,1,4,2,3,3,2,4,4,0,0,0,0,0,0,1
50,372,5,4,4,4,5,5,5,5,5,2,1,5,2,5,0,1,0,1,1,0,0
39,620,1,1,1,1,5,4,5,5,5,5,5,3,5,4,5,0,0,1,1,0,0
24,744,4,4,4,1,2,4,5,2,4,4,4,5,4,2,43,1,0,1,1,0,0
46,1790,4,4,4,4,4,3,5,5,5,5,5,5,5,4,26,0,0,0,0,0,1
67,2227,2,5,2,4,1,2,1,1,4,5,5,4,4,1,0,1,0,0,1,0,1
35,419,2,5,2,2,5,2,5,5,3,2,1,1,1,5,43,0,0,0,0,0,1
50,929,3,4,3,3,1,3,1,1,3,2,4,4,4,1,0,1,0,0,0,0,1
34,1846,4,4,5,4,5,4,4,4,4,4,4,4,4,5,0,0,0,1,0,0,1
41,163,5,4,4,4,5,5,5,5,2,2,5,4,5,5,0,0,0,0,1,0,1
42,3515,4,4,4,4,5,5,5,5,5,5,5,5,5,5,15,0,0,0,0,0,0
42,2182,1,1,1,1,5,3,5,5,5,5,5,5,5,3,8,0,1,0,1,0,0
20,1080,5,4,5,4,4,5,4,4,5,2,5,4,5,4,52,1,0,1,1,0,0
58,499,5,5,5,5,4,1,5,5,5,5,5,4,5,5,0,0,0,0,0,0,0
29,3897,3,4,4,4,3,3,3,3,3,2,3,2,4,3,0,0,1,0,1,0,0
32,414,2,1,2,3,3,2,3,3,1,2,4,4,4,3,34,1,0,0,0,0,0
7,404,4,2,3,4,3,3,3,3,2,3,4,2,3,3,15,0,0,1,1,0,0
48,3801,4,4,2,4,5,3,2,4,4,4,4,3,4,2,100,1,0,0,0,1,0
45,770,3,3,3,3,5,3,5,5,4,1,2,3,5,5,0,0,0,1,1,0,0
27,2845,3,5,5,5,3,3,3,3,4,1,4,2,4,3,130,1,0,0,0,0,1
10,296,1,5,1,4,3,1,3,3,5,5,4,5,4,3,0,1,0,0,0,0,1
28,594,2,4,4,4,2,2,2,2,4,1,4,4,4,2,5,1,0,0,0,0,0
66,1023,4,4,4,3,2,5,3,3,3,4,3,1,3,2,1,1,0,0,0,0,1
46,3404,2,2,2,2,3,4,5,5,5,5,5,3,5,5,0,1,0,0,0,0,1
59,2111,5,5,5,5,3,4,4,4,4,5,4,4,4,4,0,0,0,1,1,0,0
52,2467,3,5,5,5,3,3,4,4,4,4,3,2,4,1,43,1,0,1,1,0,0
33,1747,2,2,2,2,2,2,2,2,4,1,5,3,1,2,25,1,1,1,1,0,0
57,772,2,2,2,2,4,4,4,3,2,4,5,4,5,4,222,1,0,0,0,0,1
14,120,3,4,3,1,2,3,1,2,1,3,1,1,4,2,0,0,0,1,0,1,0
13,164,2,5,2,3,3,2,3,3,3,4,5,3,4,3,3,1,0,0,0,0,1
57,833,1,4,1,1,5,1,5,5,5,2,4,5,5,5,87,1,0,0,0,0,0
60,2430,4,4,4,4,5,4,4,5,5,5,5,4,5,5,0,1,0,0,0,0,1
61,581,1,4,1,3,2,4,5,3,3,1,1,5,3,3,44,0,0,1,0,1,1
58,1744,3,3,3,3,2,5,4,3,3,3,3,3,3,3,0,1,0,1,1,0,0
48,2434,2,1,1,1,4,3,4,2,2,2,2,1,2,1,0,1,0,1,1,0,0
48,605,1,1,1,1,2,4,4,5,5,5,5,5,5,5,0,0,0,0,1,0,0
66,226,5,5,5,1,4,5,4,4,4,5,4,4,4,3,12,1,0,1,1,0,0
57,237,2,5,2,1,3,2,3,3,5,4,4,5,5,3,0,1,0,1,1,0,0
8,675,1,2,1,4,1,1,1,1,2,3,4,4,4,1,0,0,0,0,1,0,0
31,462,2,2,2,2,2,2,2,2,4,3,3,3,3,2,11,0,0,1,1,0,1
25,224,3,2,3,3,5,3,5,5,4,5,4,4,4,5,4,1,0,1,1,0,0
50,990,3,4,3,3,5,3,5,5,3,3,4,4,4,5,2,1,1,0,0,0,0
27,1074,1,1,1,1,1,2,1,1,2,2,1,3,3,1,0,0,0,0,0,0,1
23,687,5,4,5,3,1,5,1,1,5,4,4,5,5,1,0,1,0,0,0,1,0
29,987,1,5,1,2,4,1,1,4,5,1,2,2,3,4,0,0,0,0,1,0,1
26,192,3,5,3,4,4,3,4,4,5,2,4,4,4,4,8,1,0,0,0,0,1
57,2378,4,4,1,4,5,5,5,4,4,4,5,5,4,5,28,0,0,1,1,0,0
57,2442,3,1,5,1,3,3,3,2,3,2,4,3,2,3,6,1,0,0,0,0,0
46,101,5,3,3,3,1,1,5,5,5,5,5,1,5,5,0,0,1,0,0,0,0
58,3810,3,3,3,3,5,5,5,5,4,4,4,5,5,5,163,0,0,0,0,0,1
29,358,4,4,4,4,5,4,5,5,5,2,5,4,5,5,0,1,0,1,1,0,0
23,258,1,3,3,3,1,1,1,1,3,3,4,1,4,1,10,0,1,0,1,0,0
21,364,2,2,2,4,3,2,3,3,2,1,4,2,3,3,0,1,0,0,0,0,1
41,1603,5,5,5,5,1,5,2,5,5,5,5,3,5,1,0,1,0,0,0,0,1
46,622,4,4,4,3,5,4,5,5,4,5,4,3,5,5,0,0,0,0,1,0,0
26,416,1,4,1,3,4,1,4,4,1,3,2,1,1,4,0,1,0,0,1,0,1
40,408,4,4,4,4,3,4,5,3,3,4,3,3,3,5,0,1,0,1,1,0,0
58,1742,4,4,4,4,3,5,4,5,5,5,5,5,5,5,0,0,0,1,1,0,0
62,543,1,0,0,2,3,2,3,4,4,1,4,4,4,1,0,1,0,1,0,1,0
49,641,5,1,1,1,5,5,5,5,2,1,3,2,3,5,37,1,0,0,1,0,0
48,1020,3,5,3,4,4,3,4,4,2,4,4,2,5,4,0,1,0,0,0,0,1
14,2358,1,4,1,5,3,1,3,3,4,4,3,3,5,3,0,0,0,0,0,0,1
66,544,1,3,1,3,1,1,1,3,1,3,2,1,1,1,205,0,1,0,1,0,0
37,448,2,3,5,3,2,2,2,2,2,2,2,1,3,2,0,1,0,1,1,0,0
41,646,5,5,5,5,4,4,4,5,5,5,5,4,5,4,0,1,0,1,1,0,0
46,868,2,2,2,2,4,4,5,3,3,3,3,4,3,4,0,0,0,0,1,0,0
27,850,1,1,1,4,2,1,2,2,2,2,5,2,1,2,15,0,0,0,0,0,1
10,1671,2,1,2,4,2,2,2,2,2,2,3,1,4,2,0,0,0,0,0,0,1
64,752,2,4,2,4,5,2,5,5,5,5,4,4,5,5,0,1,0,0,0,0,0
58,725,3,1,1,1,3,4,3,3,3,3,3,3,3,4,0,1,1,0,1,0,0
56,2521,5,5,5,5,4,3,5,4,4,5,4,3,4,5,0,1,0,0,1,0,0
57,364,5,4,5,5,4,5,5,5,5,5,5,3,5,4,7,0,0,0,0,0,1
41,315,2,5,5,5,2,2,2,1,2,3,2,2,2,2,275,1,0,1,1,0,0
21,208,1,5,1,3,5,1,5,5,1,1,4,2,4,5,0,0,0,1,1,0,0
31,1751,3,5,5,5,3,3,3,3,4,3,2,1,3,3,0,0,0,0,1,0,0
59,591,5,5,5,5,3,4,5,3,3,3,3,3,3,4,1,0,1,0,1,0,0
44,184,3,5,3,3,2,3,2,2,5,5,5,5,4,2,0,0,1,0,0,0,0
65,1569,1,5,1,1,5,5,4,3,3,1,3,4,3,4,0,0,0,0,0,1,1
16,262,1,2,2,2,1,1,1,1,2,2,4,4,3,1,0,1,0,0,0,0,1
22,214,1,1,1,4,4,1,5,4,3,4,3,1,4,4,0,0,0,0,1,0,0
41,1235,3,3,3,1,2,3,2,2,4,2,5,5,4,2,0,1,0,0,0,0,1
35,2588,4,3,3,3,4,4,4,4,5,3,4,2,2,4,0,1,0,1,1,0,0
58,1834,3,3,3,3,4,4,4,5,5,5,5,4,5,4,0,0,0,1,1,0,0
42,2342,2,2,5,2,5,4,4,2,2,2,2,2,2,2,8,0,0,0,0,1,1
45,425,1,1,1,1,4,4,5,4,4,4,4,3,4,5,2,0,0,0,0,0,1
27,1671,2,2,2,3,4,2,4,4,2,5,3,1,3,4,0,0,0,0,0,0,1
49,192,2,5,2,3,4,4,4,2,2,2,3,5,2,3,0,0,0,0,0,0,0
49,266,4,2,2,2,4,3,5,4,4,4,4,3,4,1,8,1,1,0,1,0,0
38,1045,5,5,5,5,4,4,5,4,4,4,4,4,4,3,0,0,0,0,0,0,1
51,2607,5,5,5,5,3,3,3,4,4,4,4,2,4,1,0,1,0,1,1,0,0
41,1650,1,1,1,1,5,3,4,1,1,2,1,4,1,2,37,0,0,0,0,0,1
23,102,3,0,3,1,5,3,5,5,5,2,5,4,4,5,5,0,0,0,0,0,1
57,1919,4,4,4,4,2,4,5,5,5,5,5,4,5,4,0,0,1,0,0,1,0
44,448,1,5,3,4,4,3,4,4,3,3,4,4,2,4,52,0,1,0,1,0,0
56,3767,4,4,4,4,2,4,4,4,4,4,4,5,4,4,0,0,0,0,0,0,1
53,2504,2,2,2,2,3,5,5,4,4,4,4,4,4,3,0,1,1,0,1,0,0
29,201,2,2,2,1,5,2,4,5,5,4,5,3,3,5,0,0,0,0,0,0,1
59,682,3,3,3,1,2,3,2,2,3,5,1,1,2,2,0,0,1,0,1,0,0
49,1623,1,1,1,1,3,4,4,2,2,2,2,4,2,3,60,0,0,0,0,0,1
30,484,2,0,3,5,4,3,4,4,1,1,3,3,5,4,0,1,0,1,1,0,0
43,2680,1,1,1,1,4,4,4,4,4,4,4,5,4,5,0,1,0,1,1,0,0
25,483,4,4,4,4,3,4,3,3,4,2,4,4,3,3,0,1,0,0,0,0,0
36,3151,4,4,4,4,5,4,4,4,4,4,4,1,4,2,12,0,0,0,0,0,1
36,603,2,4,2,5,3,2,3,3,5,4,5,4,4,3,0,1,0,1,1,0,0
56,562,4,4,4,2,5,4,5,5,5,5,5,4,5,5,0,0,0,0,0,0,1
26,308,4,3,3,3,4,4,4,4,3,2,3,1,4,4,0,0,0,0,0,0,1
35,181,0,4,0,4,2,4,4,4,4,4,4,5,4,3,6,0,0,0,0,0,1
51,2475,2,3,2,2,1,2,1,1,4,3,4,1,3,1,0,0,0,0,0,0,1
29,3170,4,4,4,4,5,5,5,5,5,4,5,5,5,5,0,1,0,1,1,0,0
44,2267,3,3,3,3,3,4,4,5,5,5,5,4,5,3,0,0,0,1,1,0,0
38,1668,5,4,5,5,3,5,4,5,5,5,5,5,5,3,23,0,0,0,0,0,0
46,417,5,5,5,5,4,4,5,5,5,5,5,3,5,4,18,1,0,1,1,0,0
