FTRD,DRB,2P_D,TORD,ADJOE,CONF,SEED,2P_O,EFG_D,3P_O,EFG_O,TOR,ADJDE,FTR,TEAM,WAB,G,W,ADJ_T,ORB,YEAR,POSTSEASON,BARTHAG,3P_D
27.2,30,50,19.5,123.3,B10,7,56.3,51.9,38.5,57,14.2,97.6,30.1,Michigan,3.8,38,26,64,24.7,2017,S16,0.9366,37.8
38.8,34.6,46.2,22.3,113.2,SEC,5,48.8,48.3,34.9,50,16.9,96,37.3,Arkansas,3.9,36,27,69.9,35.7,2015,R32,0.8696,35.2
36,32.3,43.2,22.4,108.7,Amer,5,46.6,44.8,33.5,47.7,17.4,91.5,38.7,Cincinnati,5.3,34,27,63.5,39.1,2014,R64,0.8783,32
32.4,29.4,43.5,20.6,109.4,MWC,4,45.1,44.4,34.2,46.7,15.2,90.7,45.1,San Diego St.,6,34,29,64,36.1,2014,S16,0.896,30.8
29.3,24.9,45.7,16,116.1,P12,6,52.2,46.2,38.1,53.6,18.2,95.7,43.8,Arizona,3.4,34,25,69.1,35,2016,R64,0.9022,31.6
29.9,29.8,42.1,20.8,118.9,WCC,1,55,44.9,36.5,54.9,17.2,90.2,40.8,Gonzaga,7.6,34,31,65.1,37.8,2013,R32,0.9599,32.9
27.1,27.4,45.9,15.3,122.7,B10,2,51.3,47.2,37.6,53.3,12.7,95.9,42.7,Wisconsin,7.9,38,30,63.9,28.1,2014,F4,0.9441,34.1
34.3,33.4,46.9,23.1,110.5,ACC,8,49.3,48.1,33.3,49.6,18.5,94.2,36.8,Syracuse,0.4,34,20,67.3,30.2,2019,R64,0.8622,32.9
31.3,28.2,41.1,14.9,112.8,MWC,7,51.7,45,33.2,51.1,15.9,95.7,46.7,New Mexico,4.4,34,27,66.2,32.5,2014,R64,0.8693,34.8
28,30.3,49.8,20.6,108.7,BE,9,48,49.3,32.1,48,16.1,95.4,37.3,Providence,3.4,35,24,69.3,30.4,2016,R32,0.8193,32.3
29.2,29.6,44.5,18,112.7,Amer,9,52,45.4,36.5,52.9,17.6,93.3,45.3,UCF,2,33,24,66.4,29.5,2019,R32,0.898,31.3
30.5,26.4,50.2,17,105.5,Horz,15,51.6,49.7,35.7,52.4,18.8,104.1,36.5,Northern Kentucky,-4.9,33,24,69.3,31.2,2017,R64,0.537,32.4
37.2,31.7,46.8,18.7,109,A10,6,49.9,46.6,34.6,50.4,18.8,96.9,39.2,Massachusetts,3.6,33,24,71.8,34.3,2014,R64,0.7952,30.8
36.4,30,44,22,112.8,BE,8,51.5,44.6,34.9,51.7,18.1,91.1,37.5,Pittsburgh,3.1,33,24,60.3,40.4,2013,R64,0.9217,30.4
25.7,26.9,42.8,18,107.2,B10,5,48,43,33,48.6,15.7,84.3,29.7,Wisconsin,4.6,35,23,61.9,32.6,2013,R64,0.9406,28.9
26.5,25.9,52.6,14.4,106.6,Sum,16,52.1,53.6,36.7,53.5,15.7,109,32.2,North Dakota St.,-8.6,33,19,66.5,20.7,2019,R64,0.4369,37
28.2,28.4,48.7,16.9,110.4,B10,10,48.5,49.5,31.7,48.2,17.1,96.3,41.6,Minnesota,2.7,36,22,68.8,31.4,2019,R32,0.8284,34
26.8,25.5,43.6,17.9,117.5,SEC,2,52.9,46.6,35.4,53,18.6,89.8,41.9,Kentucky,8.8,37,30,66.9,36.8,2019,E8,0.9568,34.3
39.2,31.1,46.9,21.1,98.5,CAA,16,46.2,48.7,33.6,47.6,17.2,99.4,36.8,James Madison,-8.9,36,21,64.2,29.6,2013,R64,0.4736,34.7
24.2,28,45.5,17.7,123.2,B10,2,54.1,47,42,57.7,15.8,95.7,35.6,Purdue,7.6,37,30,68.7,28,2018,S16,0.9484,33.2
31.8,25.9,47.9,18.2,107.8,B10,11,49.7,48.3,34.1,50.3,18.7,93.8,33.7,Ohio St.,0.9,35,20,67.2,27.6,2019,R32,0.8329,32.7
24.8,27.4,48.9,18.5,109.7,MVC,11,51.3,48.7,37.2,53.2,15.2,96.7,34.1,Northern Iowa,-2.1,35,22,63.7,17.7,2016,R32,0.8109,32.4
26.9,26.2,40,17.1,117.8,WCC,1,56.3,41.1,38.2,56.6,16.2,86.3,39,Gonzaga,7.7,39,37,71.5,30,2017,2ND,0.9728,29
35,29.1,44.1,23.6,108,A10,4,50,45.5,34,50.4,17.6,87.5,44,Saint Louis,3.8,35,28,64.7,27.9,2013,R32,0.9181,33.1
22.4,23.7,44.7,15.8,129.1,B10,1,54.8,47.7,36.5,54.8,12.4,93.6,36.2,Wisconsin,11.3,40,36,59.3,32.1,2015,2ND,0.9758,37.5
32.7,32.8,46.9,22.1,103.4,ASun,15,52.3,46.9,33.4,51.6,21,96.3,35.2,Florida Gulf Coast,-4,35,24,69.1,32.5,2013,S16,0.6952,31.3
30.6,28.4,46.5,21.1,107,A10,11,52.6,47.3,35.6,52.9,17.9,94.5,48.1,Dayton,0.8,36,27,63.8,23.3,2015,R32,0.8059,32.5
24,31.4,47.2,17.9,113.3,P12,11,51,50.1,36.2,52.2,15.7,100.6,36.8,USC,1.3,36,26,70.1,31,2017,R32,0.7966,36.8
45.4,23.6,42.1,23.2,110.3,MVC,11,49.2,44.7,32.3,48.9,14.7,87.8,37.4,Wichita St.,0.2,34,25,66.8,31.7,2016,R32,0.9321,32.7
25.2,25.9,47.1,19.4,110.5,MVC,11,56.6,47.4,39.8,57.7,19.1,95.4,32.2,Loyola Chicago,2,37,32,66.4,22.1,2018,F4,0.8444,32
31.2,32.5,49.4,16.2,104.1,SWAC,16,48.5,51.2,35.9,50.5,17.2,112.4,42.9,Texas Southern,-10.9,36,16,72.6,28.5,2018,R64,0.293,36.6
49.1,29.6,48.3,24.5,111,Slnd,12,55.4,49,37.3,55.6,20.3,98.8,41.9,Stephen F. Austin,1.2,31,26,66.4,37.6,2015,R64,0.7919,33.7
29.6,27.1,42.6,18.5,104.7,MWC,5,48.9,44.1,32.6,48.9,20.2,88.4,36.7,UNLV,1.8,34,24,69.3,33.3,2013,R64,0.8749,31.6
39.7,30.8,48.8,25.6,108.3,A10,5,45.6,47.8,34.9,47.9,17.2,89.8,35.2,VCU,3.6,35,26,70.8,34.9,2014,R64,0.8955,30.3
33.5,27.7,48.3,19.2,118.3,SEC,2,52.9,47.5,35.3,52.9,15.7,91.3,40.9,Kentucky,9,38,32,73.7,33.5,2017,E8,0.9517,30.6
39.8,34.8,43.1,23.2,109.5,SB,14,53.4,45.8,32.2,52,16.3,98,37.7,Georgia St.,-3,34,24,63.2,30,2015,R32,0.7802,33.1
32,24.7,46.9,20.2,107.6,Ivy,12,50.5,48.7,37.6,53.2,15.2,95.4,24.4,Princeton,-0.4,29,23,64.2,24.1,2017,R64,0.7989,34.5
38.5,30.4,48.8,17.8,118.2,B12,5,48.7,49.7,37.9,51.7,15.7,99.4,39.4,Oklahoma,4.1,33,23,71.6,32.4,2014,R64,0.8793,34.2
34.5,33,54.6,18.8,107.1,NEC,16,50.2,53.5,35.5,51.5,16.7,111,36.7,Mount St. Mary's,-9.4,33,16,69.9,27.8,2014,R68,0.3986,33.4
33.6,32.2,48.5,22.4,110.3,SEC,10,49.5,48.1,33.4,49.8,17.9,91.6,29.9,Florida,0.7,36,20,64.3,30.6,2019,R32,0.8947,31.6
22.9,24.4,46.6,16.6,116.6,B10,4,52.7,47.7,40.3,55.7,18.3,93.1,33.3,Purdue,5.6,35,27,70.4,30.8,2017,S16,0.9297,33.2
30.7,25.7,49,22.8,108,B12,4,48.9,48.2,33.4,49.4,17.4,87.8,30.6,Kansas St.,6.5,34,25,64.9,28.3,2019,R64,0.9151,31.4
36.1,26.3,45.3,17.4,109.2,A10,6,50.2,46.7,34.3,50.7,20.2,93,38.4,Butler,4.7,35,26,64.7,35.9,2013,R32,0.8624,33.2
